Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Matador,Blade,Melee,Runing of the Jagged,16,,Active - Builder,,,,,,,1000,0,"Damage, Survivability",,,"Builds 1 resource for each equipped weapon. A single target attack that deals 47 physical damage. Also gives 1 stack of the Defence Rating effect, which increases your Defence Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Riposte,Blade,Melee,Runing of the Jagged,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you are glanced, you hit the attacker, dealing 26 physical damage."
Binding Wounds,Blade,Melee,Runing of the Jagged,27,,Active - Consumer,,,,,,,1000,0,"Damage, Survivability",,,"Consumes all Blade Resources. A single target attack that deals 91 - 179 physical damage, based on the number of resources consumed. If the target is Impaired, it becomes Afflicted with a damage over time effect that deals 7 physical damage every seconds for 3 seconds. This ability generates additional hate."
Finish the Movement,Blade,Melee,Runing of the Jagged,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you finish channelling a Focus ability, you gain a beneficial effect which causes your next Focus ability to generate 1 resource for your primary weapon. If you already have the maxium available resources when this effect triggers, you will instead perform an additional hit dealing 21 physical damage to the target."
Silver Streak,Blade,Melee,Runing of the Jagged,50,,Active - Elite,,,,,,,0,35000,"Support, Survivability",,,"Gives you a beneficial effect that lasts 8 seconds. Cleanses Hindered and you receive a 100% resistance to Hindered and Impaired. Silver Streak increases movement speed by 10%. whenever you hit you heal 2.5% of your maximum healt. Whenever you are hit, you gain the Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds. This ability does not trigger and is not affected by global recharge time."
Tipped Scales,Blade,Melee,Sharpening the Sense,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit an Impaired target, you gain a heal over time effect that heals for 22 every seconds for 6 seconds."
Saving Grace,Blade,Melee,Sharpening the Sense,12,,Active,,,,,,,1000,15000,Support,,,"Charge: 20 metre charge to you defensive target. The target must be at least 3 metres away. You charge to the defensive target and give it a beneficial effect causeing the next attack against it to deal 90% less damage and you gain the Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds."
Stave Off,Blade,Melee,Sharpening the Sense,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you are glanced, there is a 10% chance that your attack becomes Impaired and unable to act for 5 seconds."
Point of Harmony,Blade,Melee,Sharpening the Sense,21,Self-Heal,Active,,,,,,,3000,80000,"Support, Survivability",,,Channelled: Every 0.5 seconds for 3 seconds. A channelled heal that heals you for 5% of your maxium health per tick.
On Guard,Blade,Melee,Sharpening the Sense,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired, you also gain 3 stacks of the Defence Rating effect, which increases Defence Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Sling Blade,Blade,Melee,Sharpening the Sense,34,,Active,,,,,,,1000,15000,"Damage, Survivability",,,Throws a blade at the target dealing 94 physical damage and causes the target to become Afflicted with a damage over time effect that deals 6 physical damage every seconds for 5 seconds. Generates a large amount of hate.
Sixth Sense,Blade,Melee,Sharpening the Sense,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you are glanced, you build a Sixth Sense counter. When there are 6 counters, your next attack will perform an additional hit that deals 235 and heals you for 10% of your maximum health."
Forking Paths,Blade,Melee,The Cutting Artist,9,,Active - Builder,,,,,,,1000,0,Damage,,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Builds 1 resource for each equipped weapon. A PBAoE attack that deals 24 physical damage. For every affect target that is Afflicted, you are healed for 8."
Enervate,Blade,Melee,The Cutting Artist,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you are glance, you cause the attack to become Afflicted with a damage over time effect that deals 12 physical damage every second for 5 seconds."
Crimson Theatre,Blade,Melee,The Cutting Artist,16,,Active - Consumer,,,,,,,1000,10000,"Damage, Survivability",,,"Consumes all Blade Resources. Places an area at your feet that lasts 10 seconds. Every second it will hit up to 6 enemies in a 5 metre radius, dealing 8 - 15 physical damage, based on the number of resources consumed. This ability generates additional hate."
Perseverance,Blade,Melee,The Cutting Artist,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you activate a Frenzy ability, you are healed for 8."
Steel Palace,Blade,Melee,The Cutting Artist,27,,Active - Consumer,,,,,,,1000,0,"Damage, Survivability",,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Blade Resources. A PBAoE Frenzy attack that deals 44 -88 physical damage, based on the number of resources consumed. If any affected targets are Afflicted, you gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds."
Shadow Play,Blade,Melee,The Cutting Artist,34,,Passive,,,,,,,N/A,N/A,N/A,,,"""Crimson Theatre"" also grants you the Minor Defence effect, which increases the chance that attacks against you will glance by 10% for 8 seconds."
The Art of War,Blade,Melee,The Cutting Artist,50,,Active - Elite,,,,,,,1000,35000,"Damage, Support, Survivability",,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. A PBAoE attack that deals 331 physical damage and causes each target hit to be forced to attack you for 5 seconds. Targets hit also become Impaired and unable to act for 1 seconds. For each affected target, the next 2 attacks against you will glance, up to a maximum of 10."
Smash,Hammer,Melee,Brawn,1,Builder,Active,,Single Target,N/A,,,,1000,0,Damage,,,Hammer attack that deals a 54 damage. Builds a weapon resource for each equipped weapon.
Below the Belt,Hammer,Melee,Brawn,1,Debuff,Passive,,Single Target,N/A,,,,N/A,N/A,N/A,Smash,,Each successful hit with Smash reduces the damage output of the target by 3% per stack for up to 10 seconds. Stacks up to 10 times. Sets weakened state.
Hell to Pay,Hammer,Melee,Brawn,1,Consumer,Active,,Column,Blast,,,,1000,0,Damage,,,A hammer blast that deals 65 – 130 damage in a column in front of you. Consumes all hammer resources.
Righteous Fury,Hammer,Melee,Brawn,2,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,Hell to Pay,,Increases the critical hit chance of Hell to Pay.
Haymaker,Hammer,Melee,Brawn,3,Consumer,Active,,Single Target,Strike,,,,1000,0,Damage,,,Hammer strike that deals 119 - 236 damage based on number of resources consumed. If the target is impaired deals 137 - 271. Consumes all hammer resources.
Hard Impact,Hammer,Melee,Brawn,4,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,Hammer,,Increases all damage dealt by hammer abilities
Shockwave,Hammer,Melee,Brawn,7,Impair,Active - Elite,,Column,N/A,,,,1000,25000,"Support, Damage",,,A hammer attack that deals 352 and knocks down enemies in a column in front of you. Targets hit become impaired for 3 seconds. Sets impaired state. Applies Vulnerable to Magic.
Brawler,Hammer,Melee,Grit,1,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Increases Crit Power by 15%.
Grand Slam,Hammer,Melee,Grit,1,"Builder, Hate",Active,,Single Target,N/A,,,,1000,0,"Damage, Survivability",,,"Hammer attack that deals 50 damage. If the target is weakened deals additional 7 damage AoE, affecting up to 6 enemies in a 5 meter radius. The additional damage generates a large amount of hate. Builds a resource for both weapons."
Street Fighter,Hammer,Melee,Grit,1,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you set impaired state, you gain a effect that increases all damage dealt by 10% for 8 seconds."
Stonewalled,Hammer,Melee,Grit,2,Buff,Active,,N/A,N/A,,,,1000,45000,"Support, Survivability",,,"You gain the Major Block Chance effect, which increases your Block Chance by 45% for 6 seconds. This ability is not affected by global recharge time."
Stone Cold,Hammer,Melee,Grit,3,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,Stonewalled,,Reduces the recharge time of Stonewalled by 15 seconds.
Backhanded,Hammer,Melee,Grit,4,Builder,Active,,Single Target,N/A,,,,1000,5000,Damage,,,Hammer attack that deals 62 damage. Builds two hammer resources if you had none before the attack.
"Cool, Calm & Collected",Hammer,Melee,Grit,7,Buff,Elite Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you block an attack, you gain the Major Ward that reduces all incoming damage by 25% for 6 seconds. Whenever you critically hit you gain a beneficial effect that increases all damage dealt by 8% for 10 seconds."
First Blood,Hammer,Melee,Industrial Action,9,Builder,Active,,Single Target,Strike,,,,1000,0,Damage,,,Hammer Strike that deals 53 damage. Deals 62 damage if you have no Hammer Resources. Builds a weapon resource for each equipped weapon.
Soft Target,Hammer,Melee,Industrial Action,12,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you critically hit an Impaired target, the next resource builder you activate builds 3 additional resources for your primary weapon."
Molten Steel,Hammer,Melee,Industrial Action,16,Consumer,Active,,Single Target,N/A,,,,1000,0,Damage,,,A single target attack that deals 114 – 226 damage based on the number of resources consumed. Deals 15% additional critical damage. Consumes all Hammer Resources.
Wrecking Crew,Hammer,Melee,Industrial Action,21,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Increases the Crit Power of Strike attacks by 20%.
Bone Breaker,Hammer,Melee,Industrial Action,27,Consumer,Active,,Single Target,N/A,,,,1000,0,Damage,,,"A single target attack that deals 114 - 226 damage, or 126 - 249 if the target is weakened. Damage scales on resources consumed. Consumes all Hammer Resources."
Metal Worker,Hammer,Melee,Industrial Action,34,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Molten Steel’ no longer gains additional Crit Damage. Instead 'Molten Steel’ now preforms an additional hit that deals 4 – 119 damage based on the resources consumed. Damage scales based on maximum HP.
Epicenter,Hammer,Melee,Industrial Action,50,Buff,Active - Elite,,PBAoE,N/A,,,,1000,20000,"Damage, Support",,,You gain 4 stacks of epicenter effect. Each attack you preform will expend a stack to grant one stack of upheaval effect and cause a 5 meter AoE around your target which last 5 seconds. Enemies inside this area are dealt 20 damage when the area appears and every second after. Enemies within this area have their movement speed reduced by 30%. Recharge time does not begin until all stacks of Epicenter effect have been expended. Each stack of the Upheaval effect increase your Crit Power by 5% for 8 seconds.
Punishment,Hammer,Melee,Brute Force,9,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit a Weakened target, you gain a beneficial effect that increases your Critical Power Rating by 40 pre stack for 10 seconds. This effect can stack up to 5 times."
Touchdown,Hammer,Melee,Brute Force,12,"Mobility, Self-Survivability",Active,,Single Target,N/A,,,,1000,12000,"Damage, Support",,,"You charge to your target dealing 65 damage to up to 6 enemies in a 5 meter radius as you land you gain the Minor Block Chance effect, which increases Block Chance by 15% for 8 seconds."
Insult to Injury,Hammer,Melee,Brute Force,16,Debuff,Passive,,N/A,N/A,,Debilitated,,N/A,N/A,N/A,,,"Whenever you critically hit, your target becomes Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. Debilitated can stack up to 10 times."
Beatdown,Hammer,Melee,Brute Force,21,Impair,Active,,Single Target,N/A,,,,1000,45000,"Damage, Support",,,"A single target attack that deals 92 damage, and knocks the target to the ground for 3 seconds. Sets impaired state."
Tenderizing,Hammer,Melee,Brute Force,27,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you successfully hit a Weakened target, you deal a extra hit for 7 damage."
Full Momentum,Hammer,Melee,Brute Force,34,"Buff, Resource Buff",Active,,N/A,N/A,,,,1000,30000,Support,,,"You gain 5 hammer resources and your Momentum is set to 5 stacks. If you use this ability when you have 5 stacks of Momentum you get the Never Go Full Momentum effect, increasing your movement speed by 20% for 5 seconds. This ability does not trigger and is not affected by global recharge time."
Thunderstruck,Hammer,Melee,Brute Force,50,Buff,Passive - Elite,,N/A,N/A,,,,N/A,N/A,N/A,,,"Increases the duration of Impaired effects you apply by 35%. Whenever you critically hit a Weakened target, you also deal a additional hit for 42 damage."
Ground Pound,Hammer,Melee,Excessive Damage,9,Builder,Active,,PBAoE,N/A,,,,1000,0,Damage,,,A PBAoE attack that deals 26 damage to nearby enemies or 35 damage if you have no hammer resources. Builds 1 resource for each equipped weapon.
Sweetspot,Hammer,Melee,Excessive Damage,12,Self Heal,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,You gain 40 health each time you critically hit.
No Mercy,Hammer,Melee,Excessive Damage,16,Consumer,Active,,Column,Blast,,,,1000,0,Damage,,,A column Blast attack that deals 60 – 124 damage based on the number of resources. Enemies killed after being hit by ‘No Mercy’ cause your next ‘No Mercy’ within 30 seconds to critically hit. Consumes all Hammer Resources.
Improved Blasts,Hammer,Melee,Excessive Damage,21,Debuff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit with a Blast ability, your target becomes weakened by a single stack of Debilitation effect, which reduces all damage dealt by 3% per stack for 10 seconds. Stacks up to 10 times."
Piledriver,Hammer,Melee,Excessive Damage,27,Consumer,Active,,PBAoE,N/A,,,,1000,0,Damage,,,"You smash your hammer into the ground, creating a PBAoE that deals 59 - 118 damage to nearby targets based on resources consumed. If the attack hits on a impaired enemy, you receive a single stack of Critical Rating. Each stack increases your Critical Rating by 40 for 8 seconds. Stacks up to 5 times. Consumes all Hammer Resources."
Knuckle Down,Hammer,Melee,Excessive Damage,34,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Increases direct damage dealt and healing done by resource builders by 10%.
Eruption,Hammer,Melee,Excessive Damage,50,Impair,Active - Elite,,Column,N/A,,,,1000,25000,"Damage, Support",,,Hammer attack that deals 334 damage in a column in front of you and knocks enemies into the air for 4 seconds. Sets Impaired state. Applies Vulnerable to Range.
Grip Whip,Hammer,Melee,Sledge Factory,9,Buff,Active,,Single Target,N/A,,,,1000,0,"Damage, Survivability",,,Hammer attack that deals 52 damage and grants a single stack of Block Rating effect. Each stack increases your Block Rating by 40 per stack for 8 seconds. Builds 1 resource for each equipped weapon.
You’re Next,Hammer,Melee,Sledge Factory,12,"Buff, Hate",Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you block an attack, you gain a beneficial effect that increases all damage dealt by 10% and doubles all hate generated for 6 seconds."
Aftershock,Hammer,Melee,Sledge Factory,16,"Consumer, Buff",Active,,Single Target,Strike,,,,1000,4000,"Damage, Survivability",,,"A single target Strike attack that deals 101 - 217 damage based on resources consumed. If the target is still within 5 meters after 3 seconds this attack hits a second time for 35 damage and you gain a Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds. Consumes all Hammer Resources."
Improved Strikes,Hammer,Melee,Sledge Factory,21,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Increases the damage and healing of Strike abilities by 10%.
Obsidian Aegis,Hammer,Melee,Sledge Factory,27,"Consumer, Buff",Active,,Single Target,N/A,,,,1000,0,"Damage, Survivability",,,"Hammer attack that deals 119 – 236 damage, based on resources consumed. If the target is impaired, you gain the Major Ward that reduces all damage received by 25% for 6 seconds. Consumes all Hammer Resources."
Immovable Object,Hammer,Melee,Sledge Factory,34,Debuff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever an enemy deals damage to you, you deal 8 physical damage back to your attacker. The amount of damage scales with your maximum health. Also, if you receive 300 or more damage in a single hit, you have a 33% chance to gain the Minor Block Chance effect, which increases Block Chance by 15% for 8 seconds."
Unstoppable Force,Hammer,Melee,Sledge Factory,50,"Elite, Buff",Active - Elite,,Self,N/A,,,,0,30000,"Support, Survivability",,,"You grow in size by 25%, gain 25% more health, deal 15% more damage and become immune to Crowd Control for 8 seconds. You also are healed for 455 HP and receive a Major Block Chance effect, which increases your block chance by 45% for 6 seconds. This ability does not trigger and is not affected by global recharge time."
Bully,Hammer,Melee,Battering Works,9,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired, you build 2 Hammer Resources."
Trucker,Hammer,Melee,Battering Works,12,"Charge, Buff",Active,,Single Target,N/A,,,,1000,12000,"Damage, Support, Survivability",,,"You charge to your target dealing 71 damage and as you land you gain the Major Block Chance effect, which increases Block Chance by 45% for 6 seconds."
Brick Wall,Hammer,Melee,Battering Works,16,Debuff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Whenever you block an attack you knock your attacker to the ground for a 2 seconds. This effect has a 30 second recharge time. Sets impaired state.
Stone’s Throw,Hammer,Melee,Battering Works,21,"Debuff, Hate Gen",Active,,Single Target,N/A,,,,1000,15000,"Damage, Support, Survivability",,,"A single target ranged attack that deals 116 damage. If hit your target becomes Weakened by 2 stacks of Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times. Generates a large amount of hate. Sets Weakened state."
No Pain No Gain,Hammer,Melee,Battering Works,27,Self Heal,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit on a Impaired target, you are healed for 61."
Furnace,Hammer,Melee,Battering Works,34,"Debuff, Buff",Active,,PBAoE,N/A,,,,1000,30000,"Damage, Support, Survivability",,,"A PBAoE attack that deals 57 damage to nearby enemies. Enemies become Weakened by 5 stacks of Debilitate effect, which reduce all damage dealt by 3% per stack for 10 seconds. For each target affected, you gain a single stack of Protection effect, which increases Physical and Magical Protection by 40 per stack for 8 seconds. Stacks up to 5 times."
Forged In Fire,Hammer,Melee,Battering Works,50,Buff,Passive - Elite,,N/A,N/A,,,,N/A,40000,N/A,,,"Whenever you drop below 50% health, you regenerate 40% of your health over 10 seconds. This effect can only apply once every 40 seconds."
Razor Shards,Hammer,Melee,Hammer Pit,9,"Consumer, Hate Gen",Active,,PBAoE,N/A,,,,1000,0,"Damage, Survivability",,,A PBAoE that deals 59 – 117 damage based on resources consumed and increases all affected enemies hate towards you. Grants a hate increasing effect for your next attack.
Blindside,Hammer,Melee,Hammer Pit,12,Debuff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you block an attack, you deal 26 damage back to your attacker and cause them to become Weakened by a single stack of Debilitate effect, which reduces all damage dealt by 3% per stack for 10 seconds."
Rupture,Hammer,Melee,Hammer Pit,16,Builder,Active,,Column,Blast,,,,1000,0,Damage,,,"A column Blast attack that deals a28 damage, or 38 damage if you have no Hammer resources. Builds 1 resource for each equipped weapon."
Bullheaded,Hammer,Melee,Hammer Pit,21,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit with a Blast ability, you gain a single stack of the Protection effect, which increases your Physical and Magical Protection Rating by 40 per stack for 8 seconds."
Blowout,Hammer,Melee,Hammer Pit,27,Consumer,Active,,PBAoE,N/A,,,,1000,15000,"Damage, Survivability",,,"A pulsing PBAoE attack that deals 6 – 12 damage to nearby enemies per pulse. If any Weakened enemies are affected you again a stack of beneficial effect, which increases your maximum HP by 2% per stack for 10 seconds. This effect can stack up to 5 times. Consumes all Hammer Resources."
Faultline,Hammer,Melee,Hammer Pit,34,Buff,Passive,,N/A,N/A,,,,N/A,N/A,N/A,,,Increases the duration of ‘Blowout’ by 5 seconds. Reduces the recharges times of ‘Blowout’ by 5 seconds.
Raging Volcano,Hammer,Melee,Hammer Pit,50,"Damage, Self-Buff",Active - Elite,,PBAoE,Channelled,,,,6000,30000,"Damage, Support, Survivability",,,"A channeled PBAoE attack that deals 102 damage per hit in a 10 meter radius and forces up to 5 nearby enemies to attack you. The last hit will deal 203 damage. While Raging Volcano is channeling, you block all incoming attacks and your movement speed is increase by 30%. Each time this ability hits a target you gain 1 stack of Raging Volcano effect. This effect can stack up to 6 times, lasts 8 seconds and will cause your abilities to deal a additional 30 damage."
Claw,Fist,Melee,Feral,1,Damage,Active – Builder,Single Hit,Single Target,N/A,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 70 physical damage.
Sharp Claws,Fist,Melee,Feral,1,,Passive,N/A,N/A,N/A,,Afflicted,,N/A,N/A,N/A,Claw,,Claws’ also causes the target to become afflicted with a damage over time effect that deals 9 physical damage every second for 10 seconds.
Hog Wild,Fist,Melee,Feral,1,,Active – Consumer,Single Hit,Cone,N/A,,,,1000,0,Damage,,,"A cone Blast attack that deals 70 – 133 physical damage based on the number of resources. Gives you the Savage Sweep effect, causing the next Fist consumer you activate to deal 4 -18 physical damage in an area around you."
Killer Instinct,Fist,Melee,Feral,2,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit, you build a Killer Instinct counter. Where there are 4 counters, your next attack cannot be evaded, will not glance, and will reset the count. Also increases direct damage dealt by 1.5% per counter."
Prey of the Weak,Fist,Melee,Feral,3,,Active – Builder,Multi Hit,Single Target,Burst,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target Burst attack that hits 3 times, dealing 23 physical damage per hit. If the target is Impaired this attack builds 1 additional Fist resource."
Predator,Fist,Melee,Feral,4,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,Increases all damage and healing of Fist abilities by 10%.
Go for the Throat,Fist,Melee,Feral,7,,Active - Elite,Single Hit,Single Target,N/A,Anima Deviation,Impaired,,1000,25000,"Damage, Support",,,A single target attack that deals 250 physical damage. The target also becomes Impaired and unable to activate abilities for 5 seconds and Afflicted with a damage over time that deals 23 physical damage every second for 10 seconds.
Lick Your Wounds,Fist,Melee,Primal,1,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit, you gain a single stack of a heal over time effect that heals for 1 every seconds per stack for 3 seconds. This effect can stack up to 4 times."
Nurture,Fist,Melee,Primal,1,Heal,Active – Builder,"Single Heal, HoT",Single Target,N/A,,,,1000,0,Healing,,,Builds 1 Fist resource. Heals the defensive target for 32 and gives them a heal over time effect that heals for 5 every second for 5 seconds.
Nurturing Gift,Fist,Melee,Primal,1,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,Nurture,,Increases the duration of “Nurture” by 5 seconds.
Pack Leader,Fist,Melee,Primal,2,,Active – Group Buff,N/A,Group Wide,N/A,,,,0,90000,Support,,,Gives all group members a beneficial effect that reduces the chance of preforming glancing hits by 80% for 10 seconds. The ability does not trigger and is not affected by global recharge time.
Alpha Wolf,Fist,Melee,Primal,3,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,Pack Leader,,Reduces the recharge time of “Pack Leader” by 30 seconds.
Wild at Heart,Fist,Melee,Primal,4,,Active – Consumer,Single Hit,Single Target,N/A,,,,1000,0,Damage,,,"Consumes all Fist resources. A single target attack that deals 95 – 180 physical damage, based on the number of resources. Gives you Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6 – 30."
Out of the Woods,Fist,Melee,Primal,7,,Passive - Elite,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you heal a target above 80% of their maximum health, you gain a beneficial effect that increases all direct healing done by 27.5% for 8 seconds."
Bear Knuckle,Fist,Melee,The Wilderness,9,,Active – Builder,Single Hit,Single Target,N/A,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 52 physical damage, or 60 physical damage if the target is impaired."
Thrill of the Chase,Fist,Melee,The Wilderness,12,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit a target from behind, the recharge time of all movement and movement speed increasing abilities currently recharging is reduced by 3 seconds."
One-Two,Fist,Melee,The Wilderness,16,,Active – Consumer,Multi Hit,Single Target,Burst,,,,1000,0,Damage,,,"Consumes all Fist resources. A Burst attack with two consecutive hits that deals 26 and 69 – 154 physical damage based on the resources consumed. Gives you the Savage Sweep effect, causing the next Fist resource consumer you activate to deal 3 – 14 physical damage in a area around you."
Follow Through,Fist,Melee,The Wilderness,21,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,One-Two,,Increaes damage dealt by “One-Two’s” seconds hit by 25%.
Tear 'Em Up,Fist,Melee,The Wilderness,27,,Active – Consumer,Single Hit,Single Target,N/A,,,,1000,0,Damage,,,"Consumes all Fist resources. A single target ability that deals 89 – 169 physical damage, based on resources consumed. If the target is Afflicted, you also gain a beneficail effect that increases all damage dealt by 10% for 4 seconds. Tear ‘Em Up gives you Feral Regrowth effect, causing your next Fist resource consumer to heal you 6 – 30."
Ferocity,Fist,Melee,The Wilderness,34,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"If at least 2 hits of a Burst ability do not glance, you gain one stack of a beneficial effect that increases direct damage by 4% per stack for 5 seconds. This effect can stack up to 3 times."
See Red,Fist,Melee,The Wilderness,50,,Active - Elite,Multi Hit,Single Target,Channeled,"Magic, Anima Deviation",,,4000,25000,"Damage, Support",,,"A channeled attack that deals 35 physical damage per hit. While channeling, you are rooted to the ground and your target is unable to activate abilities for 8 seconds. If the root effect ends before the channeling ends, the target takes 333 physical damage."
Salt in the Wound,Fist,Melee,The Outback,9,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you apply, Afflicted, you deal 7 physical damage to the target."
Reckless,Fist,Melee,The Outback,12,,Active,N/A,Self,N/A,,,,0,40000,Support,,,"Gives you a beneficial effect that lasts 10 seconds, which increases all damage dealt by 20% and all damage received by 10e. This ability doesn't not trigger and is not affected by global recharge time."
Bloodsport,Fist,Melee,The Outback,16,,Passive,N/A,N/A,N/A,,Afflicted,,N/A,N/A,N/A,,,"Whenever you hit a target , it becomes Afflicted with a damage over time effect that deals 2 physical damage per stack for 3 seconds. This effect can stack up to 3 times. Whenever you glance, this effect is removed."
Cage Fight,Fist,Melee,The Outback,21,,Active,Single Hit,PBAoE,N/A,,,,1000,20000,"Damage, Support",,,A PBAoE attack that deals 39 physical damage. Affected targets also become Afflicted with a damage over time effect that deals 10 physical damage every second for 3 seconds.
Animal Instinct,Fist,Melee,The Outback,27,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"The Savage Sweep effect deals 100% additional damage, and hits up to 6 targets instead of the normal 3. Affected enemies also become Afflicted with a damage over time effect deals 0 physical damage every second for 8 seconds. Increases healing of Feral Regrowth by 50%"
Bushwack,Fist,Melee,The Outback,34,,Active,Single hit,Single Target,N/A,,Impaired,,1000,35000,"Damage, Support",,,"You charge to the target dealing 98 physical damage and you gain the Minor Evade Chance effect, which increases Evade Chance by 10% for 8 seconds. The target also becomes Impaired and unable to activate abilities for 5 seconds."
Adrenalise,Fist,Melee,The Outback,50,,Passive - Elite,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you activate a Fist builder, you gain a beneficial effect that causes the next Fist builder to build an additional Fist resource. This effect is removed when you use a Fist consumer or glance."
Head On,Fist,Melee,The Streets,9,,Active – Builder,Single Hit,Column,N/A,,,,1000,2000,Damage,,,"Column Dash: Dash forward 3 meters, affecting up to 6 enemies in a 6 meter wide column along the way. Builds 1 resource for each equipped weapon. A column Blast attack that deals 28 physical damage. This attack cannot be evaded and will not glance."
Hardheaded,Fist,Melee,The Streets,12,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Improves “Head On” to dash 6 meters, affect up to 8 enemies and deal 25% more damage. “Head On” builds 1 additional Fist resource if it hits 3 enemies, 2 if it hits, 5 enemies and 3 if it hits 7 enemies."
Berserk,Fist,Melee,The Streets,16,,Active – Consumer,Auto Multi Hit,PBAoE,N/A,,,,1000,0,Damage,,,"Consumes all Fist resources. Each resource consumed will give you a counter. Your next hits will cause an additional PBAoE attack dealing 20 physical damage. Each additional attack will subtract one counter until you run out of counters. Berserk also gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 5 – 30."
Bruising Blast,Fist,Melee,The Streets,21,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,Blast attacks are 10% more effective.
Savage,Fist,Melee,The Streets,27,,Active – Consumer,Single Hit,Cone,N/A,,,,1000,0,Damage,,,"Consumers all Fist resources. A cone attack that deals 60 – 107 physical damage, based on resources consumed. Gives you Savage Sweep effect, causing the next Fist resource consumed to deal 3 -14 physical damage in an area around you. If any targets are Impaired it also gives you the Feral Regrowth effect, causing your next Fist resource consumer to heal you for 6 – 30."
